sample_ID,,Hyper.MS1,Hyper.MS2,Hyper.MS3,Hypo.MS1,Hypo.MS2,Hypo.MS3,Hypo.MS4,Hypo.MS5,Hypo.MS6,Hypo.MS7,cancertype
TCGA-CV-A463,,1875.234632,146.8528437,74.10272393,8.40E-08,1.38E-06,2.05E-10,1670.964229,0.043827435,93.23219436,1.140544626,HNSC
TCGA-CN-A642,,2004.056125,45.47401541,78.66045966,0.202145575,2.92E-09,9.90E-19,1205.989039,1.97E-08,0.015115902,5.35E-10,HNSC
TCGA-IQ-A6SH,,1339.061274,293.8008605,0.747565518,57.7049581,0.000389848,0.002894719,1401.404857,0.003649831,75.69683238,0.5521181,HNSC
TCGA-P3-A6T2,,2003.288127,21.98489312,112.3884795,3.35E-80,2.37E-32,5.06E-55,1562.502402,2.86E-21,1.058897945,3.19E-39,HNSC
TCGA-CN-A6V7,,2206.559222,0.709934942,61.81054341,4.17E-07,1.61E-07,216.1598954,1711.940622,0.668246173,147.8299673,184.930569,HNSC
TCGA-UF-A71E,,1906.915016,0.203411792,41.01857261,14.13157313,1.10E-10,120.0393468,1313.949637,6.33E-08,3.49E-10,48.91492145,HNSC
TCGA-DQ-7589,,1424.605339,245.2506845,0.039276839,139.8418671,5.84E-09,191.4635043,1458.822018,8.58E-07,3.79E-12,26.27500932,HNSC
TCGA-P3-A6T6,,1596.330764,6.44E-12,0.000635817,5.11E-50,4.50E-23,5.62E-29,1249.53892,2.28E-12,168.0755799,7.40E-29,HNSC
TCGA-CN-4725,,1774.775448,10.8228114,31.01914032,9.591945872,0.000879027,0.050431545,1452.963973,7.18E-06,40.39681441,0.170848611,HNSC
TCGA-BA-5153,,1868.520211,10.26956216,45.41792637,6.09E-06,2.09E-09,4.542644937,1767.888105,0.091686276,120.643916,0.000941838,HNSC
TCGA-HL-7533,,1404.621384,262.1569758,3.834739803,1.29E-09,8.76E-16,3.23E-16,1444.0262,3.87E-08,0.08263828,2.42E-07,HNSC
TCGA-T2-A6X0,,1704.536962,126.2494323,17.26790586,94.40104782,2.81E-11,132.3646506,1447.715446,8.55E-05,6.84E-05,117.2059013,HNSC
TCGA-IQ-A6SG,,1412.735673,260.0200654,0.001861173,160.3936182,1.99E-08,0.000334153,1262.964743,0.042232053,2.68E-06,76.45707027,HNSC
TCGA-BB-7864,,1658.474259,0.192889111,34.18495227,62.80050143,2.16E-07,9.275777927,1322.974782,0.005886184,57.74869032,10.31656216,HNSC
TCGA-MT-A67A,,1692.793233,114.834607,43.51105956,97.47888504,0.005858549,1.27E-05,1328.158715,13.00689627,63.41752281,7.738709169,HNSC
TCGA-BB-A6UO,,1631.859373,117.6590236,58.80150301,4.36E-60,1.75E-21,7.26E-42,1519.278935,1.83E-05,207.3823464,1.34E-19,HNSC
TCGA-QK-A6VB,,1758.207856,2.63E-16,10.45624396,76.75630103,4.66E-10,9.28E-10,553.3805236,1.62E-11,1.22E-10,7.53E-05,HNSC
TCGA-BA-4075,,1729.095136,109.1676183,84.13414564,0.004878723,0.151368833,3.81E-08,1495.714916,0.018064083,57.71173913,5.601633696,HNSC
TCGA-CN-4735,,1426.010425,128.8802329,0.001641765,0.026848017,1.92E-06,23.0236484,1490.882971,0.0004352,263.2351011,148.4046947,HNSC
TCGA-P3-A6T3,,1534.850546,106.3500979,16.12025557,28.63955787,8.84E-05,7.98E-15,1148.174702,0.461910581,7.599918824,0.002668709,HNSC
TCGA-HD-7917,,1701.594506,1.689428814,39.00816532,1.004282356,9.36E-09,0.000244773,1366.596914,0.006794825,40.99246375,2.78E-08,HNSC
TCGA-BB-4223,,1879.049748,68.54128228,59.7120702,1.64E-06,5.80E-05,76.22421827,1753.087677,0.085739273,313.5297416,0.003364219,HNSC
TCGA-UF-A71B,,1537.226427,81.79992393,14.17694929,60.54428493,2.18E-08,1.24E-08,1344.588554,0.125566634,0.818354436,14.43334043,HNSC
TCGA-UF-A7JS,,1549.772652,198.8101626,34.7017851,2.21E-07,2.23E-06,1.41E-10,1440.311931,0.005315289,119.5559516,9.32E-08,HNSC
TCGA-CV-7409,,1695.250899,11.60171696,38.37228384,0.001019759,1.51E-12,5.87E-11,1271.460273,5.54E-06,0.005397291,4.90E-06,HNSC
TCGA-BB-7862,,1602.706556,125.1308553,0.000188998,2.76E-15,1.05E-19,7.23E-05,1627.524177,2.28E-12,0.002868261,23.93518209,HNSC
TCGA-RS-A6TO,,1359.191645,224.8312631,7.50909198,0.000216434,5.85E-09,3.06E-18,1203.253646,55.82848856,155.1377828,3.681566511,HNSC
TCGA-CN-4737,,1040.148104,195.9229186,13.76597727,89.88615131,13.51543411,50.98013302,927.5058059,115.6833423,203.5618694,30.05196392,HNSC
TCGA-UF-A71D,,1789.542229,6.28E-07,67.5839704,87.01290393,2.74E-06,0.005625671,1117.731325,0.000134177,0.05177926,2.96E-05,HNSC
TCGA-BA-4078,,1951.451212,4.50E-12,7.248088328,143.6970142,4.37E-06,257.8157604,1255.136326,3.76E-09,5.35E-17,58.72519522,HNSC
TCGA-BB-7870,,1404.320425,17.31737605,14.6127992,136.3558986,1.06E-13,1.09E-15,709.4087598,7.56E-15,1.80E-12,0.268241662,HNSC
TCGA-DQ-7595,,1080.345111,78.09098066,3.362108392,1.26E-13,9.66E-12,2.31E-05,1240.275525,23.34276794,223.3364217,0.174962777,HNSC
TCGA-BA-4076,,1661.821454,312.5399952,6.794850711,4.14E-63,1.88E-20,6.42E-33,1702.288938,8.98E-09,36.76186248,5.47E-13,HNSC
TCGA-BB-4228,,2024.797009,2.17E-14,36.37759135,4.54E-25,2.84E-13,50.82842825,1601.188613,3.66E-05,35.11072206,3.62E-09,HNSC
TCGA-CN-A6V3,,1427.794261,91.29714948,6.884089477,43.60761511,3.78E-08,0.000340988,1218.227068,2.098329453,70.8313239,0.038422457,HNSC
TCGA-BA-4077,,1557.63066,229.4686455,0.004294287,1.27E-20,1.82E-13,1.63E-13,1544.485533,3.32E-08,66.43686619,6.19E-07,HNSC
TCGA-BB-4225,,1931.268724,4.43E-15,64.47117629,0.00015264,1.13E-11,119.0371883,1625.330542,2.49E-06,130.060683,0.012616544,HNSC
TCGA-CN-A6UY,,1907.440645,0.001797684,20.490357,44.12997286,1.75E-06,227.7543269,1389.447811,4.52E-07,0.011526963,0.917860057,HNSC
